"filename", "language", "YAML", "Dart", "Groovy", "Properties", "Swift", "JSON", "Markdown", "C++", "HTML", "XML", "CMake", "comment", "blank", "total"
"d:\stylish_ecommerce\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 25, 48
"d:\stylish_ecommerce\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\stylish_ecommerce\android\app\build.gradle", "Groovy", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 68
"d:\stylish_ecommerce\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"d:\stylish_ecommerce\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 6, 1, 34
"d:\stylish_ecommerce\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\stylish_ecommerce\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\stylish_ecommerce\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\stylish_ecommerce\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\stylish_ecommerce\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"d:\stylish_ecommerce\android\build.gradle", "Groovy", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"d:\stylish_ecommerce\android\gradle.properties", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\stylish_ecommerce\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\stylish_ecommerce\android\settings.gradle", "Groovy", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"d:\stylish_ecommerce\assets\images\img_.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\stylish_ecommerce\assets\images\img_apple_1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"d:\stylish_ecommerce\assets\images\img_arrow_down.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\stylish_ecommerce\assets\images\img_arrow_left.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\stylish_ecommerce\assets\images\img_arrow_right_blue_gray_900.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\stylish_ecommerce\assets\images\img_arrow_right_gray_900_02.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\stylish_ecommerce\assets\images\img_arrowdown_blue_gray_300.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\stylish_ecommerce\assets\images\img_arrowright.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\stylish_ecommerce\assets\images\img_checkmark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\stylish_ecommerce\assets\images\img_close.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\stylish_ecommerce\assets\images\img_close_blue_a200_01.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\stylish_ecommerce\assets\images\img_component_1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\stylish_ecommerce\assets\images\img_component_1_16x16.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\stylish_ecommerce\assets\images\img_component_1_amber_600.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\stylish_ecommerce\assets\images\img_component_1_blue_gray_900.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"d:\stylish_ecommerce\assets\images\img_component_1_blue_gray_900_32x32.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\stylish_ecommerce\assets\images\img_component_1_gray_400_03.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\stylish_ecommerce\assets\images\img_component_1_gray_600_01.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"d:\stylish_ecommerce\assets\images\img_component_1_gray_600_01_16x16.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\stylish_ecommerce\assets\images\img_component_1_gray_900_02.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\stylish_ecommerce\assets\images\img_component_1_gray_900_02_16x16.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\stylish_ecommerce\assets\images\img_component_1_gray_900_02_24x24.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\stylish_ecommerce\assets\images\img_component_1_white_a700_01.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\stylish_ecommerce\assets\images\img_component_1_white_a700_01_16x16.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\stylish_ecommerce\assets\images\img_component_1_white_a700_01_40x40.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\stylish_ecommerce\assets\images\img_component_2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
